Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Attendance,Audience
Recreation,,02/01/2019 10:00:00 AM,Queens,Recreation Center,Al Oerter Recreation Center,Senior 3vs3 Basketball League,Tournament/Competition,Sport,Tier 1,25,Seniors
Recreation,,02/02/2019 02:00:00 PM,Manhattan,Recreation Center,J. Hood Wright Recreation Center,Chess Tournamnet 2019,Tournament/Competition,Sport,Awards,11,Children;#Adults;#Young Adult;#Teens;#Seniors
Recreation,,02/04/2019 10:00:00 AM,Bronx,Recreation Center,St. James Recreation Center,Recreation Without Limits Open House Week,Open House,Fitness,Fitness,60,Adaptive
Recreation,PS 126 MAT School,02/06/2019 03:00:00 PM,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,Girls Empowerment Day: Part 1: PS 126 MAT School,Community Based Event,Sport,Fitness,438,Children
Recreation,,02/08/2019 04:00:00 PM,Manhattan,Recreation Center,Asser Levy Recreation Center,Glow in The Dark Paint Night Valentines Day Special,Agency Produced Event,Arts/Culture,AC&F,120,Children;#Young Adult;#Adults;#Teens;#General Public;#Seniors
Recreation,Strictly Tango,02/08/2019 06:00:00 PM,Manhattan,Recreation Center,Chelsea Recreation Center,Strictly Tango/Be My Valentine,Agency Produced Event,Arts/Culture,Dance,81,Young Adult;#Adults;#Seniors
Recreation,,02/08/2019 06:30:00 PM,Queens,Recreation Center,Sorrentino Recreation Center,DJ Clinic,Open House,Arts/Culture,Music,17,Young Adult
Recreation,,02/09/2019 12:00:00 AM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Love Your Body/Fitness Festival,Agency Produced Event,Fitness,Fitness,258,General Public
Recreation,,02/09/2019 11:00:00 AM,Manhattan,Recreation Center,Hansborough Recreation Center,She's on Point,Agency Produced Event,Fitness,Fitness,519,Children;#Young Adult;#Teens;#General Public
Recreation,Strictly Tango,02/13/2019 07:00:00 PM,Manhattan,Recreation Center,Chelsea Recreation Center,Strictly Tango Series,Agency Produced Event,Arts/Culture,Dance,14,Young Adult;#Adults;#Seniors
Recreation,PS 001 Alfred E. Smith School,02/14/2019 12:00:00 AM,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,Girls Empowerment Day: Part 2: Alfred E. Smith School PS 001,Agency Produced Event,Fitness,Fitness,278,Children
Recreation,,02/14/2019 09:00:00 AM,Bronx,Recreation Center,St. James Recreation Center,Healthy Heart Spin Off,Open House,Fitness,Fitness,60,Young Adult;#Adults;#Seniors;#General Public
Recreation,Media Ed Photo Booth,02/15/2019 05:00:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Valentine's Cupid Shuffle,Agency Produced Event,Family Festival,Dance,45,Children;#Young Adult;#Adults;#Teens;#Seniors;#General Public
Recreation,,02/15/2019 06:00:00 PM,Manhattan,Recreation Center,Asser Levy Recreation Center,Art Inspired: Kehinde Wiley,Agency Produced Event,Arts/Culture,,30,Children;#Young Adult;#Adults;#Teens;#Seniors;#General Public
Recreation,,02/15/2019 07:00:00 PM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Paint Social,Agency Produced Event,Arts/Culture,,18,Adults;#Young Adult
Recreation,,02/16/2019 12:00:00 PM,Manhattan,Recreation Center,Chelsea Recreation Center,Juice Box & Paint,Agency Produced Event,Arts/Culture,,4,Tot;#Children
Recreation,,02/18/2019 11:00:00 AM,Queens,Recreation Center,Lost Battalion Hall Recreation Center,Sports Day,Community Based Event,Sport,Tier 2,30,Children;#Teens
Recreation,,02/19/2019 10:00:00 AM,Queens,Recreation Center,Al Oerter Recreation Center,All Star Basketball,Open House,Sport,Tier 1,41,Teens
Recreation,,02/19/2019 06:30:00 PM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,AC&F: Make your Mark: Character Design Workshop,Agency Produced Event,Arts/Culture,AC&F,20,Young Adult;#Adults;#Teens;#Children
Recreation,Strictly Tango,02/20/2019 07:00:00 PM,Manhattan,Recreation Center,Chelsea Recreation Center,Strictly Tango Series,Agency Produced Event,Arts/Culture,Dance,13,Young Adult;#Adults;#Seniors
Recreation,,02/21/2019 01:00:00 PM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Interactive Games Tournament,Tournament/Competition,Academic/Out of School time,Play,22,Children;#Teens
Recreation,,02/22/2019 12:00:00 AM,Queens,Park,Al Oerter Soccer field 8,Sports Day,Community Based Event,Sport,Tier 2,25,Children;#Teens
